truth,bin_low,bin_high,count
match,0.0000,0.0100,0
match,0.0100,0.0200,0
match,0.0200,0.0300,0
match,0.0300,0.0400,0
match,0.0400,0.0500,0
match,0.0500,0.0600,0
match,0.0600,0.0700,0
match,0.0700,0.0800,0
match,0.0800,0.0900,0
match,0.0900,0.1000,0
match,0.1000,0.1100,0
match,0.1100,0.1200,0
match,0.1200,0.1300,0
match,0.1300,0.1400,0
match,0.1400,0.1500,0
match,0.1500,0.1600,0
match,0.1600,0.1700,0
match,0.1700,0.1800,0
match,0.1800,0.1900,0
match,0.1900,0.2000,0
match,0.2000,0.2100,0
match,0.2100,0.2200,0
match,0.2200,0.2300,0
match,0.2300,0.2400,0
match,0.2400,0.2500,0
match,0.2500,0.2600,0
match,0.2600,0.2700,0
match,0.2700,0.2800,0
match,0.2800,0.2900,0
match,0.2900,0.3000,0
match,0.3000,0.3100,0
match,0.3100,0.3200,0
match,0.3200,0.3300,0
match,0.3300,0.3400,0
match,0.3400,0.3500,0
match,0.3500,0.3600,1
match,0.3600,0.3700,0
match,0.3700,0.3800,0
match,0.3800,0.3900,0
match,0.3900,0.4000,0
match,0.4000,0.4100,0
match,0.4100,0.4200,0
match,0.4200,0.4300,2
match,0.4300,0.4400,0
match,0.4400,0.4500,0
match,0.4500,0.4600,0
match,0.4600,0.4700,0
match,0.4700,0.4800,1
match,0.4800,0.4900,1
match,0.4900,0.5000,4
match,0.5000,0.5100,6
match,0.5100,0.5200,9
match,0.5200,0.5300,18
match,0.5300,0.5400,23
match,0.5400,0.5500,28
match,0.5500,0.5600,27
match,0.5600,0.5700,30
match,0.5700,0.5800,22
match,0.5800,0.5900,18
match,0.5900,0.6000,15
match,0.6000,0.6100,17
match,0.6100,0.6200,16
match,0.6200,0.6300,16
match,0.6300,0.6400,20
match,0.6400,0.6500,19
match,0.6500,0.6600,25
match,0.6600,0.6700,30
match,0.6700,0.6800,45
match,0.6800,0.6900,56
match,0.6900,0.7000,70
